taxonKey,locationId,locality,country,status,temporal,establishmentMeans
148438240,ISO_3166-2:BE,Belgium,BE,PRESENT,2018/2018,INTRODUCED
148438241,ISO_3166-2:BE,Belgium,BE,PRESENT,2018/2018,INTRODUCED
148438242,ISO_3166-2:BE,Belgium,BE,PRESENT,2018/2018,INTRODUCED
148438243,ISO_3166-2:BE,Belgium,BE,PRESENT,2018/2018,INTRODUCED
148438244,ISO_3166-2:BE,Belgium,BE,PRESENT,2018/2018,INTRODUCED
148438245,ISO_3166-2:BE,Belgium,BE,PRESENT,2018/2018,INTRODUCED
148438246,ISO_3166-2:BE,Belgium,BE,PRESENT,2018/2018,INTRODUCED
148438247,ISO_3166-2:BE,Belgium,BE,PRESENT,2018/2018,INTRODUCED
148438248,ISO_3166-2:BE,Belgium,BE,PRESENT,2018/2018,INTRODUCED
148438249,ISO_3166-2:BE,Belgium,BE,PRESENT,2018/2018,INTRODUCED
