checklist_scientificName	backbone_scientificName	backbone_taxonomicStatus	backbone_acceptedName	backbone_taxonKey	backbone_acceptedKey	backbone_kingdom	backbone_issues	verification_key	date_added	checklists	remarks
Setaria pumila (Poiret) Roem. & Schult.	Setaria pumila (Poir.) Roem. & Schult.	SYNONYM	Setaria helvola Roem. & Schult.	5289693	5673972	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Crypsis aculeata (L.) Ait.	Crypsis aculeata (L.) Aiton	SYNONYM	Sporobolus aculeatus (L.) P.M.Peterson	5290184	9379326	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Panicum capillare L. subsp. barbipulvinatum (Nash) Tzvelev	Panicum capillare subsp. barbipulvinatum (Nash ex Rydb.) Tzvelev	SYNONYM	Panicum capillare L.	6313647	2705162	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Phalaris arundinacea L. var. picta L.	Phalaris arundinacea var. picta L.	SYNONYM	Phalaris arundinacea L.	5289757	5289756	Plantae		5289756	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eleusine indica (L.) Gaertn. subsp. indica	Eleusine indica subsp. indica	SYNONYM	Eleusine indica (L.) Gaertn.	6431270	2705953	Plantae		2705953	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pennisetum flaccidum Griseb.	Pennisetum flaccidum Griseb.	SYNONYM	Cenchrus flaccidus (Griseb.) Morrone	2706137	5828216	Plantae		5828216	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Echinochloa muricata (Beauv.) Fernald var. wiegandii (Fassett) Mohlenbr.	Echinochloa muricata var. wiegandii (Fassett) Mohlenbr.	SYNONYM	Echinochloa muricata (P.Beauv.) Fernald	4118560	2702816	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Hystrix patula Moench	Hystrix patula Moench	SYNONYM	Elymus hystrix L.	4146782	8112114	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Digitaria sanguinalis (L.) Scop. subsp. pectiniformis Henr.	Digitaria sanguinalis subsp. pectiniformis Henrard	SYNONYM	Digitaria sanguinalis (L.) Scop.	5675253	5289972	Plantae		5289972	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Dinebra panicea (Retz.) P.M. Peterson & N. Snow var. brachiata (Steud.) P.M. Peterson & N. Snow	Dinebra panicea var. brachiata (Steud.) P.M.Peterson & N.Snow	SYNONYM	Leptochloa panicea subsp. brachiata (Steud.) N.Snow	8306067	4132112	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Paspalum notatum Flueggé var. saurae (Parodi) Parodi	Paspalum notatum var. saurae Parodi	SYNONYM	Paspalum saurae (Parodi) Parodi	4106609	4154259	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pleioblastus pumilus (Mitford) Nakai	Pleioblastus pumilus (Mitford) Nakai	SYNONYM	Pleioblastus argenteostriatus (Regel) Nakai	4131135	4132188	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Hordeum leporinum Link	Hordeum leporinum Link	SYNONYM	Hordeum murinum subsp. leporinum (Link) Arcang.	4115652	4270548	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eragrostis albensis H. Scholz	Eragrostis albensis H.Scholz	SYNONYM	Eragrostis pilosa P.Beauv.	4150679	2705400	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bromus diandrus Roth subsp. maximus (Desf.) Soó	Bromus diandrus subsp. maximus (Desf.) Soó	SYNONYM	Bromus rigidus Roth	4110334	2703663	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Hordeum geniculatum All.	Hordeum geniculatum All.	SYNONYM	Hordeum marinum subsp. gussoneanum (Parl.) Thell.	4116522	8338571	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Echinochloa muricata (Beauv.) Fernald var. microstachya Wiegand	Echinochloa muricata var. microstachya Wiegand	SYNONYM	Echinochloa muricata (P.Beauv.) Fernald	4118583	2702816	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Helictotrichon bromoides (Gouan) C.E. Hubbard	Helictotrichon bromoides (Gouan) C.E.Hubb.	SYNONYM	Helictochloa bromoides (Gouan) Romero Zarco	4153260	6559940	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bromus hordeaceus L. subsp. pseudothominei (P.M. Smith) H. Scholz	Bromus hordeaceus subsp. pseudothominei (P.M.Sm.) H.Scholz	SYNONYM	Bromus ferronii Mabille	5927747	4124881	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Phalaris paradoxa L. var. paradoxa	Phalaris paradoxa var. paradoxa	SYNONYM	Phalaris paradoxa L.	6067713	5289758	Plantae		5289758	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Triticum polonicum L.	Triticum polonicum L.	SYNONYM	Triticum turgidum subsp. polonicum (L.) Thell.	2706421	6313049	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Urochloa mutica (Forssk.) T.Q. Nguyen	Urochloa mutica (Forssk.) T.Q.Nguyen	SYNONYM	Brachiaria mutica Stapf	2705848	2705851	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Elymus scaber (R. Brown) A. Löve	Elymus scaber (R.Br.) A.Love	SYNONYM	Anthosachne scabra (Labill.) Nevski	7324613	4134265	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Piptatherum miliaceum (L.) Coss. subsp. thomasii (Duby) Freitag	Piptatherum miliaceum subsp. thomasii (Duby) Freitag	SYNONYM	Achnatherum miliaceum P.Beauv.	4134872	4141737	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Austrodanthonia setacea (R. Brown) H.P. Linder	Austrodanthonia setacea (R.Br.) H.P.Linder	SYNONYM	Rytidosperma setaceum (R.Br.) Connor & Edgar	4107735	4135683	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Echinochloa hispidula (Retz.) Nees ex Royle	Echinochloa hispidula (Retz.) Nees ex Royle	SYNONYM	Echinochloa oryzoides (Ard.) Fritsch	8002116	2702820	Plantae	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bromus hordeaceus L. subsp. molliformis (Lloyd) Maire & Weiller	Bromus hordeaceus subsp. molliformis (J.Lloyd ex Billot) Maire & Weiller	SYNONYM	Bromus hordeaceus subsp. divaricatus (Bonnier & de Layens) Kerguélen	6312441	8918909	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Agrostis lachnantha Nees	Agrostis lachnantha Nees	SYNONYM	Lachnagrostis lachnantha (Nees) Rúgolo & A.M.Molina	4121178	4135892	Plantae		4135892	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Thinopyrum ponticum (Podp.) M.Barkworth & D.R. Dewey	Thinopyrum ponticum (Podp.) Barkworth & D.R.Dewey	SYNONYM	Thinopyrum elongatum (Host) D.R.Dewey	2704143	4125808	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Austrodanthonia tenuior (Steud.) H.P. Linder	Austrodanthonia tenuior (Steud.) H.P.Linder	SYNONYM	Rytidosperma tenuius (Steud.) A.Hansen & Sunding	4107725	7517279	Plantae		7517279	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eragrostis chloromelas Steud.	Eragrostis chloromelas Steud.	SYNONYM	Eragrostis curvula Nees	2705380	2705378	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Urochloa plantaginea (Link) R. Webster	Urochloa plantaginea (Link) R.D.Webster	SYNONYM	Panicum brevifolium L.	2705828	4153922	Plantae	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Secale strictum (C. Presl) C. Presl	Secale strictum (C.Presl) C.Presl	SYNONYM	Secale montanum Guss.	4121049	2705967	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Festuca brevipila R. Tracey	Festuca brevipila R.Tracey	SYNONYM	Festuca trachyphylla Hack.	2704955	2704949	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Stipa bromoides (L.) Dörfl.	Stipa bromoides (L.) Dörfl.	SYNONYM	Achnatherum bromoides (L.) P.Beauv.	4143865	4142335	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Digitaria ciliaris (Retz.) Koeler subsp. nubica (Stapf) S.T. Blake	Digitaria ciliaris subsp. nubica (Stapf) S.T.Blake	SYNONYM	Digitaria ciliaris (Retz.) Koeler	7736068	5289998	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Aira caryophyllea subsp. plesiantha (Jord.) K. Richt.	Aira caryophyllea subsp. plesiantha (Jord. ex Boreau) K.Richt.	SYNONYM	Aira caryophyllea L.	6084799	7747216	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Vulpia alopecuros (Schousb.) Dum.	Vulpia alopecuros (Schousb.) Dumort.	SYNONYM	Vulpia alopecuros (Schousb.) Link	7477513	5827791	Plantae	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pennisetum petiolare (Hochst.) Chiov.	Pennisetum petiolare (Hochst.) Chiov.	SYNONYM	Cenchrus petiolaris (Hochst.) Morrone	2706130	6068804	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Phalaris paradoxa L. var. praemorsa (Lam.) Coss. & Durieu	Phalaris paradoxa var. praemorsa (Lam.) Coss. & Durieu	SYNONYM	Phalaris paradoxa L.	8008561	5289758	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Panicum capillare L. subsp. capillare	Panicum capillare subsp. capillare	SYNONYM	Panicum capillare L.	6449040	2705162	Plantae		2705162	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eragrostis trichophora Coss. & Durieu	Eragrostis trichophora Coss. & Durieu	SYNONYM	Eragrostis cylindriflora Hochst.	2705367	2705391	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Piptatherum miliaceum (L.) Coss. subsp. miliaceum	Piptatherum miliaceum subsp. miliaceum	SYNONYM	Achnatherum miliaceum P.Beauv.	6067668	4141737	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Dinebra divaricatissima (S.T. Blake) P.M. Peterson & N. Snow	Dinebra divaricatissima (S.T.Blake) P.M.Peterson & N.Snow	SYNONYM	Diplachne divaricatissima (S.T.Blake) P.M.Peterson	7738621	9316357	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pentameris airoides Nees	Pentameris airoides Nees	SYNONYM	Pentameris airoides Steud.	8180630	4146851	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Brachyachne convergens (F. Muell.) Stapf	Brachyachne convergens (F.Muell.) Stapf	SYNONYM	Cynodon convergens F.Muell.	4131558	5677636	Plantae		5677636	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Agropyron cristatum (L.) Gaertn. subsp. pectinatum (Bieb.) Tzvelev	Agropyron cristatum subsp. pectinatum (M.Bieb.) Tzvelev	SYNONYM	Agropyron cristatum (L.) Gaertn.	4270510	2705196	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Moorochloa eruciformis (Smith) Veldkamp	Moorochloa eruciformis (Sm.) Veldkamp	SYNONYM	Brachiaria eruciformis (Sm.) Griseb.	4155246	2704068	Plantae		2704068	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Panicum miliaceum L. subsp. ruderale (Kitagawa) Tzvelev	Panicum miliaceum subsp. ruderale (Kitag.) Tzvelev	SYNONYM	Panicum miliaceum L.	4134741	2705090	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Crypsis schoenoides (L.) Lam.	Crypsis schoenoides (L.) Lam.	SYNONYM	Sporobolus schoenoides (L.) P.M.Peterson	5290185	9382716	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pennisetum alopecuroides (L.) Spreng.	Pennisetum alopecuroides (L.) Spreng.	SYNONYM	Cenchrus alopecuroides Thunb.	2706156	5671747	Plantae		5671747	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Spartina x townsendii H. & J. Groves	Spartina townsendii H.Groves & J.Groves	SYNONYM	Sporobolus townsendii (H.Groves & J.Groves) P.M.Peterson & Saarela	5290034	9393876	Plantae		9393876	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bromus carinatus Hook. & Arnott var. marginatus (Nees) Barkworth & Anderton	Bromus carinatus var. marginatus (Nees ex Steud.) Barkworth & Anderton	SYNONYM	Bromus marginatus Steud.	4932863	2703686	Plantae		2703686	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cynodon incompletus Nees var. hirsutus (Stent) de Wet & J.R. Harlan	Cynodon incompletus var. hirsutus (Stent) de Wet & Harlan	SYNONYM	Cynodon incompletus Nees	5679524	5674825	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eragrostis virescens J. Presl subsp. verloovei R. Portal	Eragrostis virescens subsp. verloovei Portal	SYNONYM	Eragrostis mexicana (Hornem.) Link	6084851	2705339	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Taeniatherum caput-medusae (L.) Nevski var. caput-medusae	Taeniatherum caput-medusae var. caput-medusae	SYNONYM	Taeniatherum caput-medusae (L.) Nevski	4932718	2705666	Plantae		2705666	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Trisetaria michelii (Savi) D. Heller	Trisetaria michelii (Savi) D.Heller	SYNONYM	Avellinia festucoides (Link) Valdés & H.Scholz	4114539	4104665	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Panicum miliaceum L. subsp. agricola H. Scholz & Mikoláš	Panicum miliaceum subsp. agricola H.Scholz & Mikolá	SYNONYM	Panicum miliaceum L.	4134826	2705090	Plantae		2705090	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Miscanthus sacchariflorus (Maxim.) Benth.	Miscanthus sacchariflorus (Maxim.) Benth., 1887	SYNONYM	Miscanthus sacchariflorus (Maxim.) Benth. & Hook.f. ex Franch.	8410425	7738766	Plantae	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Triticum spelta L.	Triticum spelta L.	SYNONYM	Triticum aestivum subsp. spelta (L.) Thell.	2706402	2706403	Plantae		2706403	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Crypsis alopecuroides (Pill. & Mitterp.) Schrad.	Crypsis alopecuroides (Piller & Mitterp.) Schrad.	SYNONYM	Sporobolus alopecuroides (Piller & Mitterp.) P.M.Peterson	5290186	9632508	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Avena matritensis Baum	Avena matritensis B.R.Baum	SYNONYM	Avena barbata Link	4152909	2705300	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Dactylis polygama Horv.	Dactylis polygama Horv.	SYNONYM	Dactylis glomerata subsp. lobata (Drejer) H.Lindb.	9224320	4932232	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Festuca ovina L. subsp. hirtula (Hack. & Travis) M.J. Wilkinson	Festuca ovina subsp. hirtula (Hack. ex Travis) M.J.Wilk.	SYNONYM	Festuca guestfalica subsp. hirtula (Hack. ex Travis) Dengler	4118730	4123394	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bromus diandrus Roth subsp. diandrus	Bromus diandrus subsp. diandrus	SYNONYM	Bromus diandrus Roth	8190105	2703760	Plantae		2703760	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Polypogon rioplatensis Herter	Polypogon rioplatensis Herter	SYNONYM	Polypogon imberbis (Phil.) Johow	4153734	4154206	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Panicum chloroticum Nees ex Trin.	Panicum chloroticum Nees ex Trin.	SYNONYM	Panicum dichotomiflorum Michx.	8357651	2705144	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Dichanthelium clandestinum (L.) Gould	Dichanthelium clandestinum (L.) Gould	SYNONYM	Panicum clandestinum L.	2702543	2702544	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cenchrus incertus M.A. Curtis	Cenchrus incertus M.A.Curtis	SYNONYM	Cenchrus spinifex Cav.	5289728	5289726	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Spartina pectinata Link	Spartina pectinata Bosc ex Link	SYNONYM	Sporobolus michauxianus (Hitchc.) P.M.Peterson & Saarela	5290030	9592414	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Molinia caerulea (L.) Moench subsp. arundinacea (Schrank) K. Richt.	Molinia caerulea subsp. arundinacea (Schrank) K.Richt.	SYNONYM	Molinia caerulea (L.) Moench	8353934	5289877	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eleusine coracana subsp. africana (Kennedy-O’Byrne) Hilu & de Wet	Eleusine coracana subsp. africana (Kenn.-O'Byrne) Hilu & de Wet	SYNONYM	Eleusine africana Kenn.-O'Byrne	4115907	4124350	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Urochloa platyphylla (Munro ex Wright) R. Webster	Urochloa platyphylla (Munro ex C.Wright) R.D.Webster	SYNONYM	Brachiaria platyphylla (Munro ex C.Wright) Nash	2705854	2705857	Plantae		2705857	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Aira elegantissima Schur	Aira elegantissima Schur	SYNONYM	Aira elegans Willd. ex Roem. & Schult.	5289579	7948459	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Dinebra decipiens var. peacockii (Maiden & Betche) P.M. Peterson & N. Snow	Dinebra decipiens var. peacockii (Maiden & Betche) P.M.Peterson & N.Snow	SYNONYM	Leptochloa decipiens subsp. peacockii (Maiden & Betche) N.Snow	8328801	4132902	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Avena sterilis L. subsp. ludoviciana (Durieu) Nyman	Avena sterilis subsp. ludoviciana (Durieu) Nyman	SYNONYM	Avena sterilis subsp. ludoviciana (Durieu) M.Gillet & Magne	2705287	8429888	Plantae	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Hordeum glaucum Steud.	Hordeum glaucum Steud.	SYNONYM	Hordeum murinum subsp. glaucum (Steud.) Tzvelev	4116483	4115425	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Echinochloa oryzicola (Vasing.) Vasing.	Echinochloa oryzicola Vasinger	SYNONYM	Echinochloa oryzoides (Ard.) Fritsch	2702817	2702820	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Vulpia myuros (L.) C.C. Gmel. var. megalura (Nutt.) Auquier	Vulpia myuros var. megalura (Nutt.) Auquier	SYNONYM	Vulpia myuros (L.) C.C.Gmel.	8091833	5289590	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Diplachne parviflora (R. Brown) Benth.	Diplachne parviflora (R.Br.) Benth.	SYNONYM	Diplachne fusca subsp. fusca	4122787	7998563	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Lolium subulatum Vis.	Lolium subulatum Vis.	SYNONYM	Lolium rigidum Gaudin	9231612	2706218	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Zuloagaea bulbosa (Kunth) Bess	Zuloagaea bulbosa (Kunth) Bess	SYNONYM	Panicum bulbosum Kunth	4138275	2705106	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Rorippa stylosa (Pers.) Mansf. & Rothm.	Rorippa stylosa (Pers.) Mansf. & Rothm.	SYNONYM	Rorippa pyrenaica (All.) Rchb.	3053252	3053399	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Noccaea brachypetala (Jord.) F.K. Mey.	Noccaea brachypetala (Jord.) F.K.Mey.	SYNONYM	Noccaea caerulescens subsp. brachypetala (Jord.) Tzvelev	3045473	3045464	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Erucastrum incanum (L.) Koch	Erucastrum incanum (L.) W.D.J.Koch	SYNONYM	Sinapis incana L.	5376070	3047620	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sinapis dissecta Lag.	Sinapis dissecta Lag.	SYNONYM	Sinapis alba subsp. dissecta (Lag.) Simonk.	3047634	3047633	Plantae		3047633	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Matthiola longipetala (Vent.) DC. subsp. bicornis (Sibth. & Smith) P.W. Ball	Matthiola longipetala subsp. bicornis (Sm.) P.W.Ball	SYNONYM	Matthiola longipetala subsp. longipetala	7740944	7225577	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Lepidium draba L. subsp. draba	Lepidium draba subsp. draba	SYNONYM	Lepidium draba L.	5376966	5376961	Plantae		5376961	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Rorippa x armoracioides (Tausch) Fuss	Rorippa armoracioides (Tausch) Fuss	SYNONYM	Rorippa anceps (Wahlenb.) Rchb.	3693306	3693336	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Euclidium syriacum (L.) R. Brown	Euclidium syriacum (L.) R.Br.	SYNONYM	Euclidium syriacum (L.) W.T.Aiton	8191598	3049314	Plantae	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Arabis alpina L. subsp. caucasica (Willd. ex Schlecht.) Briq.	Arabis alpina subsp. caucasica (Willd. ex Schlecht.) Briq.	SYNONYM	Arabis caucasica Willd.	5374930	5374922	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Crambe abyssinica Hochst. ex R.E. Fries	Crambe abyssinica Hochst. ex R.E.Fr.	SYNONYM	Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) A.Prina	5373484	8510990	Plantae		8510990	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Barbarea stricta Andrz.	Barbarea stricta Andrz.	SYNONYM	Barbarea stricta Andrz. ex Besser	7560578	5374614	Plantae	CONFLICTING_BASIONYM_COMBINATION	5374614	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Lepidium neglectum Thell.	Lepidium neglectum Thell.	SYNONYM	Lepidium densiflorum Schrad.	5377072	5377064	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Strigosella africana (L.) Botsch. var. laxa (Lam.) Botsch	Strigosella africana var. laxa (Lam.) Botsch.	SYNONYM	Strigosella africana (L.) Botsch.	5373456	5373440	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Erysimum ruscinonense Jord.	Erysimum ruscinonense Jord.	SYNONYM	Erysimum nevadense subsp. collisparsum (Jordan) P.W.Ball	3048071	3048069	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Lepidium draba L. subsp. chalepense (L.) Thell.	Lepidium draba subsp. chalepense (L.) Thell.	SYNONYM	Lepidium chalepense L.	5928306	5376514	Plantae	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Heracleum sibiricum L.	Heracleum sibiricum L.	SYNONYM	Heracleum sphondylium subsp. sibiricum (L.) Simonk.	6027427	4271356	Plantae		4271356	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Ammi visnaga (L.) Lam.	Ammi visnaga (L.) Lam.	SYNONYM	Visnaga daucoides Gaertn.	3034183	5371753	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Seseli montanum L.	Seseli montanum L.	SYNONYM	Hippomarathrum montanum subsp. montanum	6026420	8046546	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Orlaya platycarpos Koch	Orlaya platycarpos (L.) W.D.J.Koch	SYNONYM	Caucalis platycarpos L.	3638223	3034523	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amaranthus acutilobus Uline & Bray	Amaranthus acutilobus Uline & Bray	SYNONYM	Amaranthus emarginatus subsp. emarginatus	5384333	7323251	Plantae			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amaranthus hybridus L. subsp. hybridus var. hybridus	Amaranthus hybridus var. hybridus	SYNONYM	Amaranthus hybridus L.	7323184	5384364	Plantae		5384364	2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amaranthus tuberculatus (Moq.) Sauer var. rudis (Sauer) Costea & Tardif	Amaranthus tuberculatus var. rudis (J.D.Sauer) Costea & Tardif	SYNONYM	Amaranthus tuberculatus (Moq. ex DC.) J.D.Sauer	5548360	5384347	Plantae	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amaranthus hybridus L. subsp. hybridus var. pseudoretroflexus (Thell.) Carretero	Amaranthus hybridus var. pseudoretroflexus (Thell.) J.L.Carretero	SYNONYM	Amaranthus powellii S.Watson	5547860	5384359	Plantae	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
