taxonKey,scientificName,taxonID,datasetKey,nameType,issues,validDistribution,bb_key,bb_scientificName,bb_kingdom,bb_rank,bb_taxonomicStatus,bb_acceptedKey,bb_acceptedName,verificationKey
145954462,Antithamnionella spirographidis,rinse-checklist:taxon:9fa120483fa7c69a94910d20cb825377,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2657651,Antithamnionella spirographidis (Schiffner) E.M.Wollaston,Plantae,SPECIES,ACCEPTED,,,2657651
145954465,Bufo marinus,rinse-checklist:taxon:fd818a38aa62757a0cdc4746f6ad022d,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5216940,"Bufo marinus (Linnaeus, 1758)",Animalia,SPECIES,SYNONYM,5216933,"Rhinella marina (Linnaeus, 1758)",
145954469,Alytes obstetricans,rinse-checklist:taxon:d3858f84e770beec10407f4a398f2ac8,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2426612,"Alytes obstetricans (Laurenti, 1768)",Animalia,SPECIES,ACCEPTED,,,2426612
145954472,Pachytriton labiatus,rinse-checklist:taxon:c8296ecbec215aa781bf690433af8ed7,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2431821,"Pachytriton labiatus (Unterstein, 1930)",Animalia,SPECIES,ACCEPTED,,,2431821
145954476,Triturus marmoratus,rinse-checklist:taxon:e0d5afc9171e1a421fbcfe1e2c428f59,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2431886,"Triturus marmoratus (Latreille, 1800)",Animalia,SPECIES,ACCEPTED,,,2431886
145954478,Triturus carnifex,rinse-checklist:taxon:b6cf6e2f0ac3d18f383d83e141e0532b,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2431887,"Triturus carnifex (Laurenti, 1768)",Animalia,SPECIES,ACCEPTED,,,2431887
145954481,Lithobates catesbeianus,rinse-checklist:taxon:ab42832626ae84f7b474952155ff0aa7,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2427091,"Lithobates catesbeianus (Shaw, 1802)",Animalia,SPECIES,ACCEPTED,,,2427091
145954485,Xenopus laevis,rinse-checklist:taxon:af4a6f738e026e78b0525ebacfa4ffa7,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5217334,"Xenopus laevis (Daudin, 1802)",Animalia,SPECIES,ACCEPTED,,,5217334
145954492,Hyla arborea,rinse-checklist:taxon:fd0d7698970654f3c4c522ba5e997bca,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2427573,"Hyla arborea (Linnaeus, 1758)",Animalia,SPECIES,ACCEPTED,,,2427573
145954500,Pelophylax lessonae,rinse-checklist:taxon:c08133e980e3b35a9b360d2a687ecb63,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2426654,"Pelophylax lessonae (Camerano, 1882)",Animalia,SPECIES,ACCEPTED,,,2426654
145954501,Pelophylax bedriagae,rinse-checklist:taxon:9c5b2add456561582d85180ea39f72e7,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2426640,"Pelophylax bedriagae (Camerano, 1882)",Animalia,SPECIES,ACCEPTED,,,2426640
145954503,Pelophylax kurtmuelleri,rinse-checklist:taxon:a1351bd963849efa486dbf9ea4c3fd7c,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2426650,"Pelophylax kurtmuelleri (Gayda, 1940)",Animalia,SPECIES,ACCEPTED,,,2426650
145954505,Pelophylax ridibundus,rinse-checklist:taxon:4d42d16f2f78ffad33d4adee5212d51b,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2426661,"Pelophylax ridibundus (Pallas, 1771)",Animalia,SPECIES,ACCEPTED,,,2426661
145954509,Salamandra salamandra,rinse-checklist:taxon:4bd3a7727daacf17e1117a73a7b63748,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2431776,"Salamandra salamandra (Linnaeus, 1758)",Animalia,SPECIES,ACCEPTED,,,2431776
145954526,Mesotriton alpestris,rinse-checklist:taxon:1423a39f91a6e8a078af5eef688ca82c,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,5784900,"Mesotriton alpestris (Laurenti, 1768)",Animalia,SPECIES,SYNONYM,2431783,"Ichthyosaura alpestris (Laurenti, 1768)",
145954530,Caulacanthus ustulatus,rinse-checklist:taxon:3b102ddc50ede71d58b4a6d93db8eabd,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2666536,"Caulacanthus ustulatus (Mertens ex Turner) Kütz., 1843",Plantae,SPECIES,ACCEPTED,,,2666536
145954539,Nasua nasua,rinse-checklist:taxon:f3214de5388e607adc8c7c83ec2393a5,3f5e930b-52a5-461d-87ec-26ecd66f14a3,SCIENTIFIC,,TRUE,2433536,"Nasua nasua (Linnaeus, 1766)",Animalia,SPECIES,ACCEPTED,,,2433536
