verificationKey,locality,locationId,startYear,endYear,datasetKey,taxonKeys,scientificNames,degreeOfEstablishments,pathways
1031684,Walloon Region,ISO_3166:BE-WAL,2009,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206112943,Lepinotus patruelis,NA,NA
1031685,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301300,Lepinotus reticulatus,NA,NA
1031737,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301296,Psyllipsocus ramburii,NA,NA
1031742,Belgium,ISO_3166:BE,2011,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206109678,Dorypteryx domestica,NA,NA
1031742,Brussels-Capital Region,ISO_3166:BE-BRU,2018,2018,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206109678,Dorypteryx domestica,NA,NA
1031742,Flemish Region,ISO_3166:BE-VLG,2011,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206109678,Dorypteryx domestica,NA,NA
1031742,Walloon Region,ISO_3166:BE-WAL,2016,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206109678,Dorypteryx domestica,NA,NA
1031743,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301307,Dorypteryx pallida,NA,NA
1032262,Belgium,ISO_3166:BE,2004,2004,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301224,"Enderleinellus kumadai Kaneko, 1954",NA,NA
1032262,Flemish Region,ISO_3166:BE-VLG,2004,2004,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301224,"Enderleinellus kumadai Kaneko, 1954",established,parasitesOnAnimals
1032377,Belgium,ISO_3166:BE,2004,2004,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301227,"Hoplopleura erismata Ferris, 1921",NA,NA
1032377,Flemish Region,ISO_3166:BE-VLG,2004,2004,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301227,"Hoplopleura erismata Ferris, 1921",established,parasitesOnAnimals
1043717,Belgium,ISO_3166:BE,2016,2019,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206107141,Cryptolaemus montrouzieri,NA,NA
1043717,Flemish Region,ISO_3166:BE-VLG,2016,2019,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206107141,Cryptolaemus montrouzieri,NA,NA
1043717,Walloon Region,ISO_3166:BE-WAL,2018,2018,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206107141,Cryptolaemus montrouzieri,NA,NA
1043978,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301236,"Stelidota geminata (Say, 1825)",NA,NA
1045323,Belgium,ISO_3166:BE,2021,2021,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206109663,Pycnomerus sulcicollis,NA,NA
1045323,Flemish Region,ISO_3166:BE-VLG,2021,2021,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206109663,Pycnomerus sulcicollis,NA,NA
1047343,Belgium,ISO_3166:BE,2019,2019,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431091,Callosobruchus maculatus,NA,NA
1047343,Flemish Region,ISO_3166:BE-VLG,2019,2019,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431091,Callosobruchus maculatus,NA,NA
1047525,Belgium,ISO_3166:BE,2018,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206108241,Acanthoscelides obtectus,NA,NA
1047525,Flemish Region,ISO_3166:BE-VLG,2018,2022,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206108241,Acanthoscelides obtectus,NA,NA
1047525,Walloon Region,ISO_3166:BE-WAL,2023,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206108241,Acanthoscelides obtectus,NA,NA
1047536,Belgium,ISO_3166:BE,1993,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206108723,Leptinotarsa decemlineata,NA,NA
1047536,Brussels-Capital Region,ISO_3166:BE-BRU,2007,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206108723,Leptinotarsa decemlineata,NA,NA
1047536,Flemish Region,ISO_3166:BE-VLG,1993,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206108723,Leptinotarsa decemlineata,NA,NA
1047536,Walloon Region,ISO_3166:BE-WAL,2006,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206108723,Leptinotarsa decemlineata,NA,NA
1080709,Belgium,ISO_3166:BE,2018,2018,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431726,Protaetia morio,NA,NA
1080709,Walloon Region,ISO_3166:BE-WAL,2018,2018,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431726,Protaetia morio,NA,NA
1095946,Belgium,ISO_3166:BE,2016,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206102183,Reesa vespulae,NA,NA
1095946,Brussels-Capital Region,ISO_3166:BE-BRU,2016,2019,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206102183,Reesa vespulae,NA,NA
1095946,Flemish Region,ISO_3166:BE-VLG,2018,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206102183,Reesa vespulae,NA,NA
1095946,Walloon Region,ISO_3166:BE-WAL,2022,2022,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206102183,Reesa vespulae,NA,NA
1102800,Belgium,ISO_3166:BE,2022,2022,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431240,Penichroa fasciata,NA,NA
1102800,Flemish Region,ISO_3166:BE-VLG,2022,2022,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431240,Penichroa fasciata,NA,NA
1111797,Belgium,ISO_3166:BE,2020,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206110144,Chlorophorus annularis,NA,NA
1111797,Flemish Region,ISO_3166:BE-VLG,2020,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206110144,Chlorophorus annularis,NA,NA
1112380,Belgium,ISO_3166:BE,2022,2022,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431880,Mallodon downesii,NA,NA
1112380,Flemish Region,ISO_3166:BE-VLG,2022,2022,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431880,Mallodon downesii,NA,NA
1119292,Belgium,ISO_3166:BE,2019,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206107520,Morimus asper,NA,NA
1119292,Flemish Region,ISO_3166:BE-VLG,2021,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206107520,Morimus asper,NA,NA
1119292,Walloon Region,ISO_3166:BE-WAL,2019,2019,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206107520,Morimus asper,NA,NA
1133603,Belgium,ISO_3166:BE,2011,2011,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206112854,Batocera lineolata,NA,NA
1133603,Flemish Region,ISO_3166:BE-VLG,2011,2011,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206112854,Batocera lineolata,NA,NA
1146023,Belgium,ISO_3166:BE,2018,2020,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431270,Aegosoma scabricorne,NA,NA
1146023,Flemish Region,ISO_3166:BE-VLG,2020,2020,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431270,Aegosoma scabricorne,NA,NA
1146023,Walloon Region,ISO_3166:BE-WAL,2018,2018,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431270,Aegosoma scabricorne,NA,NA
1152186,Belgium,ISO_3166:BE,2012,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206105093,Callidiellum rufipenne,NA,NA
1152186,Brussels-Capital Region,ISO_3166:BE-BRU,2018,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206105093,Callidiellum rufipenne,NA,NA
1152186,Flemish Region,ISO_3166:BE-VLG,2012,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206105093,Callidiellum rufipenne,NA,NA
1152186,Walloon Region,ISO_3166:BE-WAL,2020,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,206105093,Callidiellum rufipenne,NA,NA
1176471,Belgium,ISO_3166:BE,2023,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431140,Polydrusus picus,NA,NA
1176471,Flemish Region,ISO_3166:BE-VLG,2023,2023,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247431140,Polydrusus picus,NA,NA
1194885,Belgium,ISO_3166:BE,2003,2003,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301243,"Otiorhynchus meridionalis Gyllenhal, 1834",NA,NA
1194885,Brussels-Capital Region,ISO_3166:BE-BRU,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301243,"Otiorhynchus meridionalis Gyllenhal, 1834",NA,contaminantOnPlants
1194885,Flemish Region,ISO_3166:BE-VLG,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301243,"Otiorhynchus meridionalis Gyllenhal, 1834",NA,contaminantOnPlants
1194885,Walloon Region,ISO_3166:BE-WAL,2003,2003,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301243,"Otiorhynchus meridionalis Gyllenhal, 1834",NA,contaminantOnPlants
1194989,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301244,"Otiorhynchus cribricollis Gyllenhal, 1834",NA,NA
1194989,Flemish Region,ISO_3166:BE-VLG,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301244,"Otiorhynchus cribricollis Gyllenhal, 1834",NA,contaminantOnPlants
1194989,Walloon Region,ISO_3166:BE-WAL,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301244,"Otiorhynchus cribricollis Gyllenhal, 1834",NA,contaminantOnPlants
1195013,Belgium,ISO_3166:BE,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301242,"Otiorhynchus aurifer Boheman, 1843",NA,NA
1195013,Brussels-Capital Region,ISO_3166:BE-BRU,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301242,"Otiorhynchus aurifer Boheman, 1843",NA,contaminantOnPlants
1195013,Flemish Region,ISO_3166:BE-VLG,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301242,"Otiorhynchus aurifer Boheman, 1843",NA,contaminantOnPlants
1195013,Walloon Region,ISO_3166:BE-WAL,,,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,164301242,"Otiorhynchus aurifer Boheman, 1843",NA,contaminantOnPlants
1224025,Belgium,ISO_3166:BE,2020,2022,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247430443,Lixus ochraceus,NA,NA
1224025,Walloon Region,ISO_3166:BE-WAL,2020,2022,2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed,247430443,Lixus ochraceus,NA,NA
