taxonKey	scientificName	datasetKey	bb_key	bb_scientificName	bb_kingdom	bb_rank	bb_taxonomicStatus	bb_acceptedKey	bb_acceptedName	bb_acceptedKingdom	bb_acceptedRank	bb_acceptedTaxonomicStatus	verificationKey	remarks	verifiedBy	dateAdded	outdated
141265711	Thinopyrum ponticum (Podp.) M.Barkworth & D.R. Dewey	9ff7d317-609b-4c08-bd86-3bc404b77c42	2704143	Thinopyrum ponticum (Podp.) Barkworth & D.R.Dewey	Plantae	SPECIES	SYNONYM	10986555	Thinopyrum obtusiflorum (DC.) Banfi	Plantae	SPECIES	ACCEPTED	10986555	accept	Tim Adriaens	2023-09-15	FALSE
206105566	Thlaspi alliaceum	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	3052738	Thlaspi alliaceum L.	Plantae	SPECIES	HETEROTYPIC_SYNONYM	10944522	Mummenhoffia alliacea (L.) Esmailbegi & Al-Shehbaz	Plantae	SPECIES	ACCEPTED	10944522	accept	Tim Adriaens	2023-09-15	FALSE
141266037	Thlaspi alliaceum L.	9ff7d317-609b-4c08-bd86-3bc404b77c42	3052738	Thlaspi alliaceum L.	Plantae	SPECIES	HETEROTYPIC_SYNONYM	10944522	Mummenhoffia alliacea (L.) Esmailbegi & Al-Shehbaz	Plantae	SPECIES	ACCEPTED	10944522	accept	Tim Adriaens	2023-09-15	FALSE
141266265	Thymus pannonicus All.	9ff7d317-609b-4c08-bd86-3bc404b77c42	5341447	Thymus pannonicus All.	Plantae	SPECIES	SYNONYM	5605749	Thymus pulegioides subsp. pannonicus (All.) Kerguélen	Plantae	SUBSPECIES	SYNONYM				2018-12-20	TRUE
141264894	Tinantia erecta (Jacq.) Schlecht.	9ff7d317-609b-4c08-bd86-3bc404b77c42	8370695	Tinantia erecta (Jacq.) Schltdl.	Plantae	SPECIES	HOMOTYPIC_SYNONYM	5303524	Tinantia erecta (Jacq.) Fenzl	Plantae	SPECIES	ACCEPTED	5303524	accept: same canonical	Peter Desmet	2021-05-08	FALSE
141266058	Trachyspermum ammi (L.) Sprague ex Turrill	9ff7d317-609b-4c08-bd86-3bc404b77c42	8244019	Trachyspermum ammi (L.) Sprague ex Turrill	Plantae	SPECIES	HETEROTYPIC_SYNONYM	3034241	Trachyspermum ammi (L.) Sprague	Plantae	SPECIES	ACCEPTED	8244019	reject: the author seems wrong in the backbone, but it is the same name	Quentin Groom	2018-12-20	TRUE
206103085	Trachystemon orientalis	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	4063372	Trachystemon orientalis (L.) G.Don	Plantae	SPECIES	SYNONYM	4063383	Trachystemon orientale (L.) D.Don	Plantae	SPECIES	ACCEPTED	4063383	accept	Tim Adriaens	2023-09-15	FALSE
141266337	Trachystemon orientalis (L.) G. Don f.	9ff7d317-609b-4c08-bd86-3bc404b77c42	4063372	Trachystemon orientalis (L.) G.Don	Plantae	SPECIES	SYNONYM	4063383	Trachystemon orientale (L.) D.Don	Plantae	SPECIES	ACCEPTED	4063383	accept: spelling	Peter Desmet	2023-09-15	FALSE
206094710	Trichoglossus moluccanus	2c38cf8a-f981-4dfb-bc9d-dd2b6fc792ed	2479694	Trichoglossus moluccanus (Gmelin, 1788)	Animalia	SPECIES	SYNONYM	6170530	Trichoglossus haematodus moluccanus (Gmelin, 1788)	Animalia	SUBSPECIES	ACCEPTED	2479694	reject: synonym used in clements checklist	Tim Adriaens	2023-09-15	FALSE
164300968	Trichorina tomentosa (Budde-Lund, 1893)	1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2											2204981	manual match: to that name	Tim Adriaens	2021-05-08	FALSE
