language,license,rightsHolder,bibliographicCitation,datasetID,institutionCode,datasetName,references,taxonID,acceptedNameUsageID,scientificName,acceptedNameUsage,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,taxonomicStatus,taxonRemarks
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1031400: Ectopsocus briggsi McLachlan, 1899 in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1031400,https://www.gbif.org/species/1031400,https://www.gbif.org/species/1031400,"Ectopsocus briggsi McLachlan, 1899","Ectopsocus briggsi McLachlan, 1899",Animalia,Arthropoda,Insecta,Psocodea,Ectopsocidae,Ectopsocus,briggsi,,SPECIES,"McLachlan, 1899",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1031512: Liposcelis brunnea Motschulsky, 1852 in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1031512,https://www.gbif.org/species/1031512,https://www.gbif.org/species/1031512,"Liposcelis brunnea Motschulsky, 1852","Liposcelis brunnea Motschulsky, 1852",Animalia,Arthropoda,Insecta,Psocodea,Liposcelididae,Liposcelis,brunnea,,SPECIES,"Motschulsky, 1852",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1031520: Liposcelis bostrychophila Badonnel, 1931 in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1031520,https://www.gbif.org/species/1031520,https://www.gbif.org/species/1031520,"Liposcelis bostrychophila Badonnel, 1931","Liposcelis bostrychophila Badonnel, 1931",Animalia,Arthropoda,Insecta,Psocodea,Liposcelididae,Liposcelis,bostrychophila,,SPECIES,"Badonnel, 1931",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1031524: Liposcelis paeta J.V.Pearman, 1942 in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1031524,https://www.gbif.org/species/1031524,https://www.gbif.org/species/1031524,"Liposcelis paeta J.V.Pearman, 1942","Liposcelis paeta J.V.Pearman, 1942",Animalia,Arthropoda,Insecta,Psocodea,Liposcelididae,Liposcelis,paeta,,SPECIES,"J.V.Pearman, 1942",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1031564: Psoquilla marginepunctata Hagen, 1865 in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1031564,https://www.gbif.org/species/1031564,https://www.gbif.org/species/1031564,"Psoquilla marginepunctata Hagen, 1865","Psoquilla marginepunctata Hagen, 1865",Animalia,Arthropoda,Insecta,Psocodea,Psoquillidae,Psoquilla,marginepunctata,,SPECIES,"Hagen, 1865",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1031677: Trogium pulsatorium (Linnaeus, 1758) in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1031677,https://www.gbif.org/species/1031677,https://www.gbif.org/species/1031677,"Trogium pulsatorium (Linnaeus, 1758)","Trogium pulsatorium (Linnaeus, 1758)",Animalia,Arthropoda,Insecta,Psocodea,Trogiidae,Trogium,pulsatorium,,SPECIES,"(Linnaeus, 1758)",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1031680: Cerobasis annulata (Hagen, 1865) in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1031680,https://www.gbif.org/species/1031680,https://www.gbif.org/species/1031680,"Cerobasis annulata (Hagen, 1865)","Cerobasis annulata (Hagen, 1865)",Animalia,Arthropoda,Insecta,Psocodea,Trogiidae,Cerobasis,annulata,,SPECIES,"(Hagen, 1865)",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1031684: Lepinotus patruelis J.V.Pearman, 1931 in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1031684,https://www.gbif.org/species/1031684,https://www.gbif.org/species/1031684,"Lepinotus patruelis J.V.Pearman, 1931","Lepinotus patruelis J.V.Pearman, 1931",Animalia,Arthropoda,Insecta,Psocodea,Trogiidae,Lepinotus,patruelis,,SPECIES,"J.V.Pearman, 1931",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1031685: Lepinotus reticulatus Enderlein, 1904 in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1031685,https://www.gbif.org/species/1031685,https://www.gbif.org/species/1031685,"Lepinotus reticulatus Enderlein, 1904","Lepinotus reticulatus Enderlein, 1904",Animalia,Arthropoda,Insecta,Psocodea,Trogiidae,Lepinotus,reticulatus,,SPECIES,"Enderlein, 1904",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
en,http://creativecommons.org/licenses/by/4.0/legalcode,,"https://www.gbif.org/species/1031737: Psyllipsocus ramburii Selys-Longchamps, 1872 in GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset https://doi.org/10.15468/39omei",https://doi.org/10.15468/xoidmd,ISSG,Global Register of Introduced and Invasive Species - Belgium,https://www.gbif.org/species/1031737,https://www.gbif.org/species/1031737,https://www.gbif.org/species/1031737,"Psyllipsocus ramburii Selys-Longchamps, 1872","Psyllipsocus ramburii Selys-Longchamps, 1872",Animalia,Arthropoda,Insecta,Psocodea,Psyllipsocidae,Psyllipsocus,ramburii,,SPECIES,"Selys-Longchamps, 1872",ACCEPTED,Sources considered for this taxon: https://doi.org/10.15468/3pmlxs
