verifiedKey,marine,freshwater,terrestrial,sourceChecklist,sourceTaxon
1095953,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961656
1095973,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960381
1095984,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960389
1102093,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958779
1107218,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961450
1122893,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959117
1166198,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960075
1170177,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959409
1174299,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959447
1178487,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958484
1179354,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958958
1189261,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960460
1195129,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961912
1196132,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961962
1216929,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960528
1221824,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958499
1221916,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960117
1224467,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960159
1228061,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145959489
1231274,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960832
1237429,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960792
1237442,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145960790
1247584,FALSE,TRUE,FALSE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145958798
1248228,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961458
1249740,FALSE,FALSE,TRUE,3f5e930b-52a5-461d-87ec-26ecd66f14a3,145961282
1311477,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438120
1313740,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438149
1314773,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438126
1316805,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438141
1316908,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438130
1319260,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438145
1320777,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438135
1321805,FALSE,FALSE,TRUE,1f3505cd-5d98-4e23-bd3b-ffe59d05d7c2,148438133
