checklist_scientificName	backbone_scientificName	backbone_taxonKey	backbone_kingdom	backbone_taxonomicStatus	backbone_acceptedName	backbone_acceptedKey	backbone_issues	verification_key	date_added	checklists	remarks
Dinebra panicea (Retz.) P.M. Peterson & N. Snow var. brachiata (Steud.) P.M. Peterson & N. Snow	Dinebra panicea var. brachiata (Steud.) P.M.Peterson & N.Snow	8306067	Plantae	SYNONYM	Leptochloa panicea subsp. brachiata (Steud.) N.Snow	4132112	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Paspalum notatum Flueggé var. saurae (Parodi) Parodi	Paspalum notatum var. saurae Parodi	4106609	Plantae	SYNONYM	Paspalum saurae (Parodi) Parodi	4154259			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pleioblastus pumilus (Mitford) Nakai	Pleioblastus pumilus (Mitford) Nakai	4131135	Plantae	SYNONYM	Pleioblastus argenteostriatus (Regel) Nakai	4132188			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Hordeum leporinum Link	Hordeum leporinum Link	4115652	Plantae	SYNONYM	Hordeum murinum subsp. leporinum (Link) Arcang.	4270548			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eragrostis albensis H. Scholz	Eragrostis albensis H.Scholz	4150679	Plantae	SYNONYM	Eragrostis pilosa P.Beauv.	2705400			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bromus diandrus Roth subsp. maximus (Desf.) Soó	Bromus diandrus subsp. maximus (Desf.) Soó	4110334	Plantae	SYNONYM	Bromus rigidus Roth	2703663	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Hordeum geniculatum All.	Hordeum geniculatum All.	4116522	Plantae	SYNONYM	Hordeum marinum subsp. gussoneanum (Parl.) Thell.	8338571			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Echinochloa muricata (Beauv.) Fernald var. microstachya Wiegand	Echinochloa muricata var. microstachya Wiegand	4118583	Plantae	SYNONYM	Echinochloa muricata (P.Beauv.) Fernald	2702816			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Helictotrichon bromoides (Gouan) C.E. Hubbard	Helictotrichon bromoides (Gouan) C.E.Hubb.	4153260	Plantae	SYNONYM	Helictochloa bromoides (Gouan) Romero Zarco	6559940	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bromus hordeaceus L. subsp. pseudothominei (P.M. Smith) H. Scholz	Bromus hordeaceus subsp. pseudothominei (P.M.Sm.) H.Scholz	5927747	Plantae	SYNONYM	Bromus ferronii Mabille	4124881	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Phalaris paradoxa L. var. paradoxa	Phalaris paradoxa var. paradoxa	6067713	Plantae	SYNONYM	Phalaris paradoxa L.	5289758			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Triticum polonicum L.	Triticum polonicum L.	2706421	Plantae	SYNONYM	Triticum turgidum subsp. polonicum (L.) Thell.	6313049			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Urochloa mutica (Forssk.) T.Q. Nguyen	Urochloa mutica (Forssk.) T.Q.Nguyen	2705848	Plantae	SYNONYM	Brachiaria mutica Stapf	2705851			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Elymus scaber (R. Brown) A. Löve	Elymus scaber (R.Br.) A.Love	7324613	Plantae	SYNONYM	Anthosachne scabra (Labill.) Nevski	4134265			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Piptatherum miliaceum (L.) Coss. subsp. thomasii (Duby) Freitag	Piptatherum miliaceum subsp. thomasii (Duby) Freitag	4134872	Plantae	SYNONYM	Achnatherum miliaceum P.Beauv.	4141737	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Austrodanthonia setacea (R. Brown) H.P. Linder	Austrodanthonia setacea (R.Br.) H.P.Linder	4107735	Plantae	SYNONYM	Rytidosperma setaceum (R.Br.) Connor & Edgar	4135683			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Echinochloa hispidula (Retz.) Nees ex Royle	Echinochloa hispidula (Retz.) Nees ex Royle	8002116	Plantae	SYNONYM	Echinochloa oryzoides (Ard.) Fritsch	2702820	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bromus hordeaceus L. subsp. molliformis (Lloyd) Maire & Weiller	Bromus hordeaceus subsp. molliformis (J.Lloyd ex Billot) Maire & Weiller	6312441	Plantae	SYNONYM	Bromus hordeaceus subsp. divaricatus (Bonnier & de Layens) Kerguélen	8918909			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Agrostis lachnantha Nees	Agrostis lachnantha Nees	4121178	Plantae	SYNONYM	Lachnagrostis lachnantha (Nees) Rúgolo & A.M.Molina	4135892			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Thinopyrum ponticum (Podp.) M.Barkworth & D.R. Dewey	Thinopyrum ponticum (Podp.) Barkworth & D.R.Dewey	2704143	Plantae	SYNONYM	Thinopyrum elongatum (Host) D.R.Dewey	4125808			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Austrodanthonia tenuior (Steud.) H.P. Linder	Austrodanthonia tenuior (Steud.) H.P.Linder	4107725	Plantae	SYNONYM	Rytidosperma tenuius (Steud.) A.Hansen & Sunding	7517279			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eragrostis chloromelas Steud.	Eragrostis chloromelas Steud.	2705380	Plantae	SYNONYM	Eragrostis curvula Nees	2705378			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Urochloa plantaginea (Link) R. Webster	Urochloa plantaginea (Link) R.D.Webster	2705828	Plantae	SYNONYM	Panicum brevifolium L.	4153922	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Secale strictum (C. Presl) C. Presl	Secale strictum (C.Presl) C.Presl	4121049	Plantae	SYNONYM	Secale montanum Guss.	2705967			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Festuca brevipila R. Tracey	Festuca brevipila R.Tracey	2704955	Plantae	SYNONYM	Festuca trachyphylla Hack.	2704949			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Stipa bromoides (L.) Dörfl.	Stipa bromoides (L.) Dörfl.	4143865	Plantae	SYNONYM	Achnatherum bromoides (L.) P.Beauv.	4142335			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Digitaria ciliaris (Retz.) Koeler subsp. nubica (Stapf) S.T. Blake	Digitaria ciliaris subsp. nubica (Stapf) S.T.Blake	7736068	Plantae	SYNONYM	Digitaria ciliaris (Retz.) Koeler	5289998	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Aira caryophyllea subsp. plesiantha (Jord.) K. Richt.	Aira caryophyllea subsp. plesiantha (Jord. ex Boreau) K.Richt.	6084799	Plantae	SYNONYM	Aira caryophyllea L.	7747216	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Vulpia alopecuros (Schousb.) Dum.	Vulpia alopecuros (Schousb.) Dumort.	7477513	Plantae	SYNONYM	Vulpia alopecuros (Schousb.) Link	5827791	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pennisetum petiolare (Hochst.) Chiov.	Pennisetum petiolare (Hochst.) Chiov.	2706130	Plantae	SYNONYM	Cenchrus petiolaris (Hochst.) Morrone	6068804			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Phalaris paradoxa L. var. praemorsa (Lam.) Coss. & Durieu	Phalaris paradoxa var. praemorsa (Lam.) Coss. & Durieu	8008561	Plantae	SYNONYM	Phalaris paradoxa L.	5289758	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Panicum capillare L. subsp. capillare	Panicum capillare subsp. capillare	6449040	Plantae	SYNONYM	Panicum capillare L.	2705162			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eragrostis trichophora Coss. & Durieu	Eragrostis trichophora Coss. & Durieu	2705367	Plantae	SYNONYM	Eragrostis cylindriflora Hochst.	2705391			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Piptatherum miliaceum (L.) Coss. subsp. miliaceum	Piptatherum miliaceum subsp. miliaceum	6067668	Plantae	SYNONYM	Achnatherum miliaceum P.Beauv.	4141737			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Dinebra divaricatissima (S.T. Blake) P.M. Peterson & N. Snow	Dinebra divaricatissima (S.T.Blake) P.M.Peterson & N.Snow	7738621	Plantae	SYNONYM	Diplachne divaricatissima (S.T.Blake) P.M.Peterson	9316357	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pentameris airoides Nees	Pentameris airoides Nees	8180630	Plantae	SYNONYM	Pentameris airoides Steud.	4146851			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Brachyachne convergens (F. Muell.) Stapf	Brachyachne convergens (F.Muell.) Stapf	4131558	Plantae	SYNONYM	Cynodon convergens F.Muell.	5677636			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Agropyron cristatum (L.) Gaertn. subsp. pectinatum (Bieb.) Tzvelev	Agropyron cristatum subsp. pectinatum (M.Bieb.) Tzvelev	4270510	Plantae	SYNONYM	Agropyron cristatum (L.) Gaertn.	2705196	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Moorochloa eruciformis (Smith) Veldkamp	Moorochloa eruciformis (Sm.) Veldkamp	4155246	Plantae	SYNONYM	Brachiaria eruciformis (Sm.) Griseb.	2704068			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Panicum miliaceum L. subsp. ruderale (Kitagawa) Tzvelev	Panicum miliaceum subsp. ruderale (Kitag.) Tzvelev	4134741	Plantae	SYNONYM	Panicum miliaceum L.	2705090	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Crypsis schoenoides (L.) Lam.	Crypsis schoenoides (L.) Lam.	5290185	Plantae	SYNONYM	Sporobolus schoenoides (L.) P.M.Peterson	9382716	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pennisetum alopecuroides (L.) Spreng.	Pennisetum alopecuroides (L.) Spreng.	2706156	Plantae	SYNONYM	Cenchrus alopecuroides Thunb.	5671747			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Spartina x townsendii H. & J. Groves	Spartina townsendii H.Groves & J.Groves	5290034	Plantae	SYNONYM	Sporobolus townsendii (H.Groves & J.Groves) P.M.Peterson & Saarela	9393876			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bromus carinatus Hook. & Arnott var. marginatus (Nees) Barkworth & Anderton	Bromus carinatus var. marginatus (Nees ex Steud.) Barkworth & Anderton	4932863	Plantae	SYNONYM	Bromus marginatus Steud.	2703686			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cynodon incompletus Nees var. hirsutus (Stent) de Wet & J.R. Harlan	Cynodon incompletus var. hirsutus (Stent) de Wet & Harlan	5679524	Plantae	SYNONYM	Cynodon incompletus Nees	5674825	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eragrostis virescens J. Presl subsp. verloovei R. Portal	Eragrostis virescens subsp. verloovei Portal	6084851	Plantae	SYNONYM	Eragrostis mexicana (Hornem.) Link	2705339			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Taeniatherum caput-medusae (L.) Nevski var. caput-medusae	Taeniatherum caput-medusae var. caput-medusae	4932718	Plantae	SYNONYM	Taeniatherum caput-medusae (L.) Nevski	2705666			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Trisetaria michelii (Savi) D. Heller	Trisetaria michelii (Savi) D.Heller	4114539	Plantae	SYNONYM	Avellinia festucoides (Link) Valdés & H.Scholz	4104665	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Panicum miliaceum L. subsp. agricola H. Scholz & Mikoláš	Panicum miliaceum subsp. agricola H.Scholz & Mikolá	4134826	Plantae	SYNONYM	Panicum miliaceum L.	2705090			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Miscanthus sacchariflorus (Maxim.) Benth.	Miscanthus sacchariflorus (Maxim.) Benth., 1887	8410425	Plantae	SYNONYM	Miscanthus sacchariflorus (Maxim.) Benth. & Hook.f. ex Franch.	7738766	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Triticum spelta L.	Triticum spelta L.	2706402	Plantae	SYNONYM	Triticum aestivum subsp. spelta (L.) Thell.	2706403			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Crypsis alopecuroides (Pill. & Mitterp.) Schrad.	Crypsis alopecuroides (Piller & Mitterp.) Schrad.	5290186	Plantae	SYNONYM	Sporobolus alopecuroides (Piller & Mitterp.) P.M.Peterson	9632508	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Avena matritensis Baum	Avena matritensis B.R.Baum	4152909	Plantae	SYNONYM	Avena barbata Link	2705300			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Dactylis polygama Horv.	Dactylis polygama Horv.	9224320	Plantae	SYNONYM	Dactylis glomerata subsp. lobata (Drejer) H.Lindb.	4932232			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Festuca ovina L. subsp. hirtula (Hack. & Travis) M.J. Wilkinson	Festuca ovina subsp. hirtula (Hack. ex Travis) M.J.Wilk.	4118730	Plantae	SYNONYM	Festuca guestfalica subsp. hirtula (Hack. ex Travis) Dengler	4123394	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bromus diandrus Roth subsp. diandrus	Bromus diandrus subsp. diandrus	8190105	Plantae	SYNONYM	Bromus diandrus Roth	2703760			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Polypogon rioplatensis Herter	Polypogon rioplatensis Herter	4153734	Plantae	SYNONYM	Polypogon imberbis (Phil.) Johow	4154206			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Panicum chloroticum Nees ex Trin.	Panicum chloroticum Nees ex Trin.	8357651	Plantae	SYNONYM	Panicum dichotomiflorum Michx.	2705144			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Dichanthelium clandestinum (L.) Gould	Dichanthelium clandestinum (L.) Gould	2702543	Plantae	SYNONYM	Panicum clandestinum L.	2702544	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Cenchrus incertus M.A. Curtis	Cenchrus incertus M.A.Curtis	5289728	Plantae	SYNONYM	Cenchrus spinifex Cav.	5289726			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Spartina pectinata Link	Spartina pectinata Bosc ex Link	5290030	Plantae	SYNONYM	Sporobolus michauxianus (Hitchc.) P.M.Peterson & Saarela	9592414			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Molinia caerulea (L.) Moench subsp. arundinacea (Schrank) K. Richt.	Molinia caerulea subsp. arundinacea (Schrank) K.Richt.	8353934	Plantae	SYNONYM	Molinia caerulea (L.) Moench	5289877	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Eleusine coracana subsp. africana (Kennedy-O’Byrne) Hilu & de Wet	Eleusine coracana subsp. africana (Kenn.-O'Byrne) Hilu & de Wet	4115907	Plantae	SYNONYM	Eleusine africana Kenn.-O'Byrne	4124350			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Urochloa platyphylla (Munro ex Wright) R. Webster	Urochloa platyphylla (Munro ex C.Wright) R.D.Webster	2705854	Plantae	SYNONYM	Brachiaria platyphylla (Munro ex C.Wright) Nash	2705857			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Aira elegantissima Schur	Aira elegantissima Schur	5289579	Plantae	SYNONYM	Aira elegans Willd. ex Roem. & Schult.	7948459			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Dinebra decipiens var. peacockii (Maiden & Betche) P.M. Peterson & N. Snow	Dinebra decipiens var. peacockii (Maiden & Betche) P.M.Peterson & N.Snow	8328801	Plantae	SYNONYM	Leptochloa decipiens subsp. peacockii (Maiden & Betche) N.Snow	4132902	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Avena sterilis L. subsp. ludoviciana (Durieu) Nyman	Avena sterilis subsp. ludoviciana (Durieu) Nyman	2705287	Plantae	SYNONYM	Avena sterilis subsp. ludoviciana (Durieu) M.Gillet & Magne	8429888	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Hordeum glaucum Steud.	Hordeum glaucum Steud.	4116483	Plantae	SYNONYM	Hordeum murinum subsp. glaucum (Steud.) Tzvelev	4115425			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Echinochloa oryzicola (Vasing.) Vasing.	Echinochloa oryzicola Vasinger	2702817	Plantae	SYNONYM	Echinochloa oryzoides (Ard.) Fritsch	2702820			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Vulpia myuros (L.) C.C. Gmel. var. megalura (Nutt.) Auquier	Vulpia myuros var. megalura (Nutt.) Auquier	8091833	Plantae	SYNONYM	Vulpia myuros (L.) C.C.Gmel.	5289590	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Diplachne parviflora (R. Brown) Benth.	Diplachne parviflora (R.Br.) Benth.	4122787	Plantae	SYNONYM	Diplachne fusca subsp. fusca	7998563			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Lolium subulatum Vis.	Lolium subulatum Vis.	9231612	Plantae	SYNONYM	Lolium rigidum Gaudin	2706218			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Zuloagaea bulbosa (Kunth) Bess	Zuloagaea bulbosa (Kunth) Bess	4138275	Plantae	SYNONYM	Panicum bulbosum Kunth	2705106			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Rorippa stylosa (Pers.) Mansf. & Rothm.	Rorippa stylosa (Pers.) Mansf. & Rothm.	3053252	Plantae	SYNONYM	Rorippa pyrenaica (All.) Rchb.	3053399	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Noccaea brachypetala (Jord.) F.K. Mey.	Noccaea brachypetala (Jord.) F.K.Mey.	3045473	Plantae	SYNONYM	Noccaea caerulescens subsp. brachypetala (Jord.) Tzvelev	3045464	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Erucastrum incanum (L.) Koch	Erucastrum incanum (L.) W.D.J.Koch	5376070	Plantae	SYNONYM	Sinapis incana L.	3047620			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Sinapis dissecta Lag.	Sinapis dissecta Lag.	3047634	Plantae	SYNONYM	Sinapis alba subsp. dissecta (Lag.) Simonk.	3047633			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Matthiola longipetala (Vent.) DC. subsp. bicornis (Sibth. & Smith) P.W. Ball	Matthiola longipetala subsp. bicornis (Sm.) P.W.Ball	7740944	Plantae	SYNONYM	Matthiola longipetala subsp. longipetala	7225577	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Lepidium draba L. subsp. draba	Lepidium draba subsp. draba	5376966	Plantae	SYNONYM	Lepidium draba L.	5376961			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Rorippa x armoracioides (Tausch) Fuss	Rorippa armoracioides (Tausch) Fuss	3693306	Plantae	SYNONYM	Rorippa anceps (Wahlenb.) Rchb.	3693336	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Euclidium syriacum (L.) R. Brown	Euclidium syriacum (L.) R.Br.	8191598	Plantae	SYNONYM	Euclidium syriacum (L.) W.T.Aiton	3049314	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Arabis alpina L. subsp. caucasica (Willd. ex Schlecht.) Briq.	Arabis alpina subsp. caucasica (Willd. ex Schlecht.) Briq.	5374930	Plantae	SYNONYM	Arabis caucasica Willd.	5374922	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Crambe abyssinica Hochst. ex R.E. Fries	Crambe abyssinica Hochst. ex R.E.Fr.	5373484	Plantae	SYNONYM	Crambe hispanica subsp. abyssinica (Hochst. ex R.E.Fr.) A.Prina	8510990			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Barbarea stricta Andrz.	Barbarea stricta Andrz.	7560578	Plantae	SYNONYM	Barbarea stricta Andrz. ex Besser	5374614	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Lepidium neglectum Thell.	Lepidium neglectum Thell.	5377072	Plantae	SYNONYM	Lepidium densiflorum Schrad.	5377064			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Strigosella africana (L.) Botsch. var. laxa (Lam.) Botsch	Strigosella africana var. laxa (Lam.) Botsch.	5373456	Plantae	SYNONYM	Strigosella africana (L.) Botsch.	5373440	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Erysimum ruscinonense Jord.	Erysimum ruscinonense Jord.	3048071	Plantae	SYNONYM	Erysimum nevadense subsp. collisparsum (Jordan) P.W.Ball	3048069			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Lepidium draba L. subsp. chalepense (L.) Thell.	Lepidium draba subsp. chalepense (L.) Thell.	5928306	Plantae	SYNONYM	Lepidium chalepense L.	5376514	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Heracleum sibiricum L.	Heracleum sibiricum L.	6027427	Plantae	SYNONYM	Heracleum sphondylium subsp. sibiricum (L.) Simonk.	4271356			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Ammi visnaga (L.) Lam.	Ammi visnaga (L.) Lam.	3034183	Plantae	SYNONYM	Visnaga daucoides Gaertn.	5371753			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Seseli montanum L.	Seseli montanum L.	6026420	Plantae	SYNONYM	Hippomarathrum montanum subsp. montanum	8046546			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Orlaya platycarpos Koch	Orlaya platycarpos (L.) W.D.J.Koch	3638223	Plantae	SYNONYM	Caucalis platycarpos L.	3034523	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amaranthus acutilobus Uline & Bray	Amaranthus acutilobus Uline & Bray	5384333	Plantae	SYNONYM	Amaranthus emarginatus subsp. emarginatus	7323251			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amaranthus hybridus L. subsp. hybridus var. hybridus	Amaranthus hybridus var. hybridus	7323184	Plantae	SYNONYM	Amaranthus hybridus L.	5384364			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amaranthus tuberculatus (Moq.) Sauer var. rudis (Sauer) Costea & Tardif	Amaranthus tuberculatus var. rudis (J.D.Sauer) Costea & Tardif	5548360	Plantae	SYNONYM	Amaranthus tuberculatus (Moq. ex DC.) J.D.Sauer	5384347	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amaranthus hybridus L. subsp. hybridus var. pseudoretroflexus (Thell.) Carretero	Amaranthus hybridus var. pseudoretroflexus (Thell.) J.L.Carretero	5547860	Plantae	SYNONYM	Amaranthus powellii S.Watson	5384359	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amaranthus x ralletii Contré	Amaranthus ×ralletii Contré	7975549	Plantae	SYNONYM	Amaranthus ozanonii Piszter	7576335			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Corispermum gmelinii Bunge	Corispermum gmelinii Bunge	7648345	Plantae	SYNONYM	Corispermum declinatum var. tylocarpum (Hance) C.P.Tsien & C.G.Ma	3759901			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amaranthus powellii S. Watson subsp. bouchonii (Thell.) Costea & Carretero	Amaranthus powellii subsp. bouchonii (Thell.) Costea & Carretero	5548528	Plantae	SYNONYM	Amaranthus bouchonii Thell.	5384361			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Alternanthera nodiflora R. Brown	Alternanthera nodiflora R.Br.	7323675	Plantae	SYNONYM	Alternanthera sessilis (L.) DC.	3084939			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amaranthus hybridus L. subsp. quitensis (Kunth) Costea & Carretero	Amaranthus hybridus subsp. quitensis (Kunth) Costea & Carretero	5547857	Plantae	SYNONYM	Amaranthus quitensis Kunth	7323711			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Bassia scoparia (L.) Voss s.l.	Bassia scoparia (L.) Voss	7852603	Plantae	SYNONYM	Bassia scoparia subsp. scoparia	7219488	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Einadia polygonoides (J. Murr) Wilson	Einadia polygonoides (Murr) Paul G.Wilson	3757344	Plantae	SYNONYM	Chenopodium polygonoides (Murr) Aellen	3757457			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Amaranthus macrocarpus Benth. var. pallidus Benth.	Amaranthus macrocarpus var. pallidus Benth.	5548724	Plantae	SYNONYM	Amaranthus macrocarpus subsp. pallidus (Benth.) N.Bayón	9454901			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Teloxys aristata (L.) Moq.	Teloxys aristata (L.) Moq.	3083888	Plantae	SYNONYM	Dysphania aristata (L.) Mosyakin & Clemants	5568439	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Alternanthera tenella Colla	Alternanthera tenella Colla	3084968	Plantae	SYNONYM	Alternanthera ficoidea R.Br.	8160803			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
