checklist_scientificName	backbone_scientificName	backbone_taxonKey	backbone_kingdom	backbone_taxonomicStatus	backbone_acceptedName	backbone_acceptedKey	backbone_issues	verification_key	date_added	checklists	remarks
Cornus sanguinea L. subsp. australis (C.A. Mey.) Jáv. ex Soó in Soó & Jáv.	Cornus sanguinea subsp. australis (C.A.Mey.) Soó	8207659	Plantae	SYNONYM	Cornus sanguinea subsp. australis (C.A.Mey.) Jáv.	3663237	ORIGINAL_NAME_DERIVED,CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Portulaca papillatostellulata (Danin & H.G. Baker) Danin	Portulaca papillatostellulata (Danin & H.G.Baker) Danin	4022463	Plantae	SYNONYM	Portulaca macrantha (Maire) Ricceri & Arrigoni	4022910			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Proboscidea louisianica (Mill.) Thell.	Proboscidea louisianica Thell.	5415100	Plantae	SYNONYM	Proboscidea louisianica subsp. louisianica	7226243			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Platanus x hispanica Mill. ex Münchh.	Platanus hispanica Mill. ex Münchh.	7400250	Plantae	SYNONYM	Platanus hybrida Brot.	3152814			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Pterocarya fraxinifolia (Lam.) Spach	Pterocarya fraxinifolia (Poir.) Spach	8288647	Plantae	SYNONYM	Pterocarya pterocarpa (Michx.) Kunth ex Iljinsk.	4205311			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Polystichum tsus-simense J. Smith	Polystichum tsus-simense (Hook.) J.Sm.	2651108	Plantae	SYNONYM	Polystichum luctuosum (Kunze) Moore.	4046493	ORIGINAL_NAME_DERIVED		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Euonymus hederaceus Champ. ex Benth.	Euonymus hederaceus Champ. ex Benth.	3792460	Plantae	SYNONYM	Euonymus fortunei (Turcz.) Hand.-Mazz.	3169137			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Celastrus orbiculatus Thunb.	Celastrus orbiculatus Thunb.	3169169	Plantae	SYNONYM	Celastrus orbiculatus C.P.Thunberg ex A.Murray	8104460	CONFLICTING_BASIONYM_COMBINATION		2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Ribes x nidigrolaria R. & A. Bauer	Ribes ×nidigrolaria Rud.Bauer & A.Bauer	4194699	Plantae	SYNONYM	Ribes nigrum x uva-crispa	9781288			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
Ribes odoratum H.L. Wendl.	Ribes odoratum H.L.Wendl.	8436755	Plantae	SYNONYM	Ribes aureum var. villosum DC.	4194303			2018-07-25	9ff7d317-609b-4c08-bd86-3bc404b77c42	
