taxonKey,marine,freshwater,terrestrial
141264860,FALSE,FALSE,TRUE
141264861,FALSE,FALSE,TRUE
141264862,FALSE,FALSE,TRUE
141264863,FALSE,FALSE,TRUE
141264864,FALSE,FALSE,TRUE
141264866,FALSE,FALSE,TRUE
141264868,FALSE,FALSE,TRUE
141264869,FALSE,FALSE,TRUE
141264870,FALSE,FALSE,TRUE
141264871,FALSE,FALSE,TRUE
141264872,FALSE,FALSE,TRUE
141264873,FALSE,FALSE,TRUE
141264875,FALSE,FALSE,TRUE
141264876,FALSE,FALSE,TRUE
141264878,FALSE,TRUE,FALSE
141264879,FALSE,TRUE,FALSE
141264881,FALSE,FALSE,TRUE
141264882,FALSE,FALSE,TRUE
141264883,FALSE,FALSE,TRUE
141264884,FALSE,FALSE,TRUE
141264885,FALSE,FALSE,TRUE
141264886,FALSE,FALSE,TRUE
141264887,FALSE,FALSE,TRUE
141264888,FALSE,FALSE,TRUE
141264890,FALSE,FALSE,TRUE
141264891,FALSE,FALSE,TRUE
141264892,FALSE,FALSE,TRUE
141264893,FALSE,FALSE,TRUE
141264894,FALSE,FALSE,TRUE
141264895,FALSE,FALSE,TRUE
141264896,FALSE,FALSE,TRUE
141264898,FALSE,FALSE,TRUE
141264899,FALSE,FALSE,TRUE
141264900,FALSE,FALSE,TRUE
141264901,FALSE,FALSE,TRUE
141264902,FALSE,FALSE,TRUE
141264903,FALSE,FALSE,TRUE
141264904,FALSE,FALSE,TRUE
141264905,FALSE,FALSE,TRUE
141264906,FALSE,FALSE,TRUE
141264907,FALSE,FALSE,TRUE
141264909,FALSE,FALSE,TRUE
141264911,FALSE,FALSE,TRUE
141264913,FALSE,FALSE,TRUE
141264914,FALSE,FALSE,TRUE
141264915,FALSE,FALSE,TRUE
141264916,FALSE,FALSE,TRUE
141264917,FALSE,FALSE,TRUE
141264918,FALSE,FALSE,TRUE
141264919,FALSE,FALSE,TRUE
141264920,FALSE,FALSE,TRUE
141264921,FALSE,FALSE,TRUE
141264922,FALSE,FALSE,TRUE
141264923,FALSE,FALSE,TRUE
141264924,FALSE,FALSE,TRUE
141264925,FALSE,FALSE,TRUE
141264927,FALSE,FALSE,TRUE
141264928,FALSE,FALSE,TRUE
141264929,FALSE,FALSE,TRUE
141264930,FALSE,FALSE,TRUE
141264931,FALSE,FALSE,TRUE
141264932,FALSE,FALSE,TRUE
141264933,FALSE,FALSE,TRUE
141264934,FALSE,FALSE,TRUE
141264935,FALSE,FALSE,TRUE
141264936,FALSE,FALSE,TRUE
141264937,FALSE,FALSE,TRUE
141264938,FALSE,FALSE,TRUE
141264939,FALSE,FALSE,TRUE
141264940,FALSE,FALSE,TRUE
141264942,FALSE,FALSE,TRUE
141264944,FALSE,FALSE,TRUE
141264945,FALSE,FALSE,TRUE
141264946,FALSE,FALSE,TRUE
141264947,FALSE,FALSE,TRUE
141264948,FALSE,FALSE,TRUE
141264949,FALSE,FALSE,TRUE
141264950,FALSE,FALSE,TRUE
141264951,FALSE,FALSE,TRUE
141264952,FALSE,FALSE,TRUE
141264953,FALSE,FALSE,TRUE
141264954,FALSE,FALSE,TRUE
141264955,FALSE,FALSE,TRUE
141264956,FALSE,FALSE,TRUE
141264957,FALSE,FALSE,TRUE
141264958,FALSE,FALSE,TRUE
141264959,FALSE,FALSE,TRUE
141264960,FALSE,FALSE,TRUE
141264961,FALSE,FALSE,TRUE
141264962,FALSE,FALSE,TRUE
141264963,FALSE,FALSE,TRUE
141264964,FALSE,FALSE,TRUE
141264966,FALSE,TRUE,FALSE
141264967,FALSE,FALSE,TRUE
141264968,FALSE,TRUE,FALSE
141264969,FALSE,FALSE,TRUE
141264970,FALSE,FALSE,TRUE
141264971,FALSE,TRUE,FALSE
141264972,FALSE,FALSE,TRUE
141264973,FALSE,TRUE,FALSE
141264974,FALSE,FALSE,TRUE
141264976,FALSE,FALSE,TRUE
141264978,FALSE,FALSE,TRUE
141264979,FALSE,FALSE,TRUE
141264981,FALSE,FALSE,TRUE
141264983,FALSE,FALSE,TRUE
141264984,FALSE,FALSE,TRUE
141264985,FALSE,FALSE,TRUE
141264986,FALSE,FALSE,TRUE
141264987,FALSE,FALSE,TRUE
141264988,FALSE,FALSE,TRUE
141264989,FALSE,FALSE,TRUE
141264990,FALSE,FALSE,TRUE
141264991,FALSE,FALSE,TRUE
141264992,FALSE,FALSE,TRUE
141264993,FALSE,FALSE,TRUE
141264995,FALSE,FALSE,TRUE
141264996,FALSE,FALSE,TRUE
141264997,FALSE,FALSE,TRUE
141264999,FALSE,FALSE,TRUE
141265000,FALSE,FALSE,TRUE
141265002,FALSE,FALSE,TRUE
141265004,FALSE,FALSE,TRUE
141265005,FALSE,FALSE,TRUE
141265006,FALSE,FALSE,TRUE
141265007,FALSE,FALSE,TRUE
141265008,FALSE,FALSE,TRUE
141265009,FALSE,FALSE,TRUE
141265010,FALSE,FALSE,TRUE
141265011,FALSE,FALSE,TRUE
141265012,FALSE,FALSE,TRUE
141265013,FALSE,FALSE,TRUE
141265014,FALSE,FALSE,TRUE
141265015,FALSE,FALSE,TRUE
141265016,FALSE,FALSE,TRUE
141265017,FALSE,FALSE,TRUE
141265018,FALSE,FALSE,TRUE
141265019,FALSE,FALSE,TRUE
141265020,FALSE,FALSE,TRUE
141265022,FALSE,FALSE,TRUE
141265023,FALSE,FALSE,TRUE
141265024,FALSE,FALSE,TRUE
141265025,FALSE,FALSE,TRUE
141265026,FALSE,FALSE,TRUE
141265027,FALSE,FALSE,TRUE
141265028,FALSE,FALSE,TRUE
141265030,FALSE,FALSE,TRUE
