taxonKey,scientificName,taxonID,datasetKey,nameType,issues,validDistribution,bb_key,bb_scientificName,bb_kingdom,bb_rank,bb_taxonomicStatus,bb_acceptedKey,bb_acceptedName,bb_speciesKey
141264617,Phyllanthus tenellus Roxb.,alien-plants-belgium:taxon:a2fad8f398b4f9766df66fc789525365,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5381097,Phyllanthus tenellus Roxb.,Plantae,SPECIES,ACCEPTED,,,5381097
141264619,Thalia dealbata Fraser,alien-plants-belgium:taxon:a29dcbec12158f72297e9af3521dc157,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5303040,Thalia dealbata Fraser,Plantae,SPECIES,ACCEPTED,,,5303040
141264621,Echinopsis silvestrii Spegazz.,alien-plants-belgium:taxon:8c8513cdab7e2642da0bec3c3a132425,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5621983,Echinopsis silvestrii Speg.,Plantae,SPECIES,SYNONYM,7282357,Echinopsis albispinosa K.Schum.,7282357
141264623,Azolla filiculoides Lam.,alien-plants-belgium:taxon:c7cd7584396e36a61503269eb5e93d47,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,2650107,Azolla filiculoides Lam.,Plantae,SPECIES,ACCEPTED,,,2650107
141264624,Salvinia auriculata Aubl.,alien-plants-belgium:taxon:cc3030df4d9c12b32b9a6098cdb529f4,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5274861,Salvinia auriculata Aubl.,Plantae,SPECIES,ACCEPTED,,,5274861
141264625,Salvinia natans (L.) All.,alien-plants-belgium:taxon:8fa3e26a32c3a238e01bcaab2ff337c3,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,5274858,Salvinia natans (L.) All.,Plantae,SPECIES,ACCEPTED,,,5274858
141264627,Liquidambar styraciflua L.,alien-plants-belgium:taxon:94907cda2944b2d015f16dcc843677a0,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,3152824,Liquidambar styraciflua L.,Plantae,SPECIES,ACCEPTED,,,3152824
141264629,Armeria arenaria (Pers.) Schult.,alien-plants-belgium:taxon:ea9c1fbebae0098c487ad5a5b636884d,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,7136543,Armeria arenaria (Pers.) Schult.,Plantae,SPECIES,ACCEPTED,,,7136543
141264630,Limonium sinuatum (L.) Mill.,alien-plants-belgium:taxon:acdae4d40156c469640585861b861d9c,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,3082297,Limonium sinuatum (L.) Mill.,Plantae,SPECIES,ACCEPTED,,,3082297
141264631,Armeria maritima Willd. subsp. elongata (Hoffmann) Bonnier,alien-plants-belgium:taxon:82158abb8bb149553eae77a58fad79a4,9ff7d317-609b-4c08-bd86-3bc404b77c42,SCIENTIFIC,"",TRUE,4090836,Armeria maritima subsp. elongata (Hoffm.) Bonnier,Plantae,SUBSPECIES,ACCEPTED,,,8930531
