key,countryCode,occurrenceStatus,eventDate,locationID,establishmentMeans,locality,pathway,degreeOfEstablishment,occurrenceRemarks,source,Invasiveness
176441380,BE,Established,2019-01,http://marineregions.org/mrgid/26567,Alien,Belgian part of the North Sea,,,"Observed on the beach of De Haan, later also found on the Wenduinebank","Kerckhof, F. (2019). Mulinia lateralis (Say, 1822) de kleine Amerikaanse strandschelp nu ook in België. <em>De Strandvlo.</em> 39(1): 4-9.",Not specified
176441511,BE,Established,1992,http://marineregions.org/mrgid/2469,Alien,Vlaanderen,,,"The Stone moroko (or Topmouth gudgeon) is generally found in Belgian river systems (i.e., fresh water) north of the Sambre and Meuse. In the Lower Scheldt and the Scheldt estuary, the species has been encountered multiple times at various locations since 1998. Further south, the species is established in several larger and smaller rivers but is less widespread. This is primarily due to the Stone moroko's preference for slow-flowing and stagnant waters, resulting in less suitable habitat in Wallonia. Additionally, the stocking of fish for angling (particularly carp species) in Flanders, which were often infected with Stone moroko, has significantly contributed to its introduction and spread. In Wallonia, however, stocking efforts mainly involved salmonids, which were much less likely to be infected with Stone moroko.","Verreycken, H.; Anseeuw, D.; Van Thuyne, G.; Quataert, P.; Belpaire, C. (2007). The non‐indigenous freshwater fishes of Flanders (Belgium): review, status and trends over the last decade. <em>Journal of Fish Biology.</em> 71(sd): 160-172.",Invasive
176441554,BE,Established,2022-11-06,http://marineregions.org/mrgid/2469,Alien,Vlaanderen,,,First observation in Canal Ghent-Terneuzen.,"Verhelst, P.; Verreycken, H. (2023). First record in Europe of the Asian gobiid, shimofuri (marbled) goby <i>Tridentiger bifasciatus</i> Steindachner, 1881. <em>Journal of Fish Biology.</em> 102(5): 1253-1255.",Of concern
176441887,BE,Established,2012-07-01,http://marineregions.org/mrgid/26567,Alien,Belgian part of the North Sea,,,"Schelde estuary, Belgium","Soors, J.; De Beukelaer, J.; Bezdenjesnji, O.; Buerms, D.; Lefranc, C.; Speybroeck, J.; Van de Meutter, F. (2022). Two new alien crustacean invaders Grandidierella japonica (Stephensen, 1938) and Neomysis americana (S.I. Smith, 1873) in Belgium. <em>BioInvasions Records.</em> 11(3): 747-757.",Not specified
176441926,BE,Sometimes present,2022-08-01,http://marineregions.org/mrgid/26567,Alien,Belgian part of the North Sea,,,"Multiple specimens of this species were first found on Belgian territory on August 1, 2022, in a biofouling sample from the intertidal zone of the RT1 measurement pole (‘Blue Accelerator’), about 500 meters north of the eastern breakwater of Ostend.In addition to the observation in 2022, these amphipods were also found in 2024 in a biofouling sample from the O6 buoy, near the RT1 measurement pole, but this time in the subtidal zone. To date, these occurrences near the entrance of the Ostend harbor remain the only observations on Belgian territory.","Kerckhof, F.; Kerkhove, T. R. (2024). De geïntroduceerde glasvlokreeft Ptilohyale littoralis (Stimpson, 1853) aangetroffen in Belgische wateren. <em>De Strandvlo.</em> 44(3): 88-91.",Not specified
176441932,BE,Reported,2007,http://marineregions.org/mrgid/26567,Alien,Belgian part of the North Sea,,,source: Van Haaren and Soors 2009.,"Boets, P.; Brosens, D.; Lock, K.; Adriaens, T.; Aelterman, B.; Mertens, J.; Goethals, P. (2016). Alien macroinvertebrates in Flanders (Belgium). <em>Aquatic Invasions.</em> 11(2): 131-144.",Not specified
177212406,BE,Sometimes present,2022-07-31,http://marineregions.org/mrgid/5476,Alien,Oostende Harbour,,,,"De Blauwe, H. (2023). De Aziatische oorkwal in Belgische en Nederlandse wateren. <em>Natuurpunt.be.</em>",Uncertain
209719599,BE,Sometimes present,2020-09-30,http://marineregions.org/mrgid/26567,Alien,Belgian part of the North Sea,,,"Since the first observations in 2020, the species has been regularly reported at the beach of Knokke-Heist and Bredene, as well as approximately 5 to 10 km off the coast of Zeebrugge and Knokke-Heist. (based on waarnemingen.be and GBIF data)","Fabrice, A.; Kerckhof, F. (2020). De Gladde snavelneut Yoldia limatula (Say, 1831), een nieuwe geïntroduceerde soort in de Belgische mariene fauna. <em>De Strandvlo.</em> 40(3): 88-93.",Not specified
254924852,BE,Sometimes present,2019-10-02,http://marineregions.org/mrgid/2551,Alien,Zeebrugge,,,Observed in the Zeebrugge marina,"Gittenberger, A.; Rensing, M.; Faasse, M.; Van Walraven, L.; Smolders, S.; Keeler Perez, H.; Gittenberger, E. (2023). Non-Indigenous Species Dynamics in Time and Space within the Coastal Waters of The Netherlands. <em>Diversity.</em> 15(6): 719.",Not invasive
254924855,BE,Sometimes present,2021-04,http://marineregions.org/mrgid/3293,Alien,Belgian Exclusive Economic Zone,,,"Observed in the Waaslandhaven, Antwerp Harbour","Boito, L.; Van den Neucker, T.; Van Damme, S.; Schoelynck, J. (2022). First record of the alien hooked mussel Ischadium recurvum (Rafinesque, 1820) (Bivalvia: Mytilidae) in Belgium. <em>Belgian Journal of Zoology.</em> 152.",Not specified
254924858,BE,Established and stable,2017-05,http://marineregions.org/mrgid/5481,Alien,Haven van Antwerpen,,,,"van Haaren, T., Worsfold, T. M., Stelbrink, B., Collado, G. A., Gonçalves, I. C. B., Serra, W. S., Scarabino, F., Gittenberger, A. & Gittenberger, E. (2021). <i>Heleobia charruana</i> (Gastropoda, Truncatelloidea, Cochliopidae), a South American brackish water snail in northwest European estuaries. <em>Basteria.</em> 85 (1): 82-91.",Not specified
254924899,BE,Reported,2023-07-09,http://marineregions.org/mrgid/5476,Alien,Oostende Harbour,,,Observed in the Sluice Dock (Spuikom),"Jonckheere, I.; Kerckhof, F. (2024). Waarnemingen gedaan tijdens de SWG-excursie naar de Spuikom van Oostende op 9 juli 2023 met vondsten van verschillende nieuwe geïntroduceerde soorten voor de Belgische fauna. <em>De Strandvlo.</em> 44(2): 33-41.",Not specified
206094706,BE,present,2009-04-20/2009-04-20,ISO_3166-2:BE,introduced,Belgium,,,,,
206094706,BE,present,2009-04-20/2009-04-20,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094708,BE,present,1972-04-25/2023-12-30,ISO_3166-2:BE,vagrant,Belgium,,,,,
206094708,BE,present,2002-12-01/2002-12-01,ISO_3166-2:BE-BRU,vagrant,Brussels-Capital Region,,,,,
206094708,BE,present,1972-04-25/2023-12-30,ISO_3166-2:BE-VLG,vagrant,Flemish Region,,,,,
206094708,BE,present,1984-09-08/2020-02-04,ISO_3166-2:BE-WAL,vagrant,Walloon Region,,,,,
206094709,BE,present,1999-02-07/2019-01-08,ISO_3166-2:BE,vagrant,Belgium,,,,,
206094709,BE,present,1999-02-07/2019-01-08,ISO_3166-2:BE-VLG,vagrant,Flemish Region,,,,,
206094710,BE,present,2015-12-26/2018-04-09,ISO_3166-2:BE,introduced,Belgium,,,,,
206094710,BE,present,2015-12-26/2018-04-09,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094713,BE,present,2012-01-06/2023-02-21,ISO_3166-2:BE,vagrant,Belgium,,,,,
206094713,BE,present,2012-01-06/2023-02-21,ISO_3166-2:BE-VLG,vagrant,Flemish Region,,,,,
206094714,BE,present,2000-04-11/2022-04-09,ISO_3166-2:BE,introduced,Belgium,,,,,
206094714,BE,present,2012-08-03/2012-11-30,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
206094714,BE,present,2000-04-11/2022-04-09,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094717,BE,present,1999-07-07/2023-06-24,ISO_3166-2:BE,introduced,Belgium,,,,,
206094717,BE,present,1999-07-07/2023-06-24,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094719,BE,present,2013-09-18/2020-09-13,ISO_3166-2:BE,vagrant,Belgium,,,,,
206094719,BE,present,2013-09-18/2020-09-13,ISO_3166-2:BE-VLG,vagrant,Flemish Region,,,,,
206094723,BE,present,1987-03-01/2004-04-18,ISO_3166-2:BE,vagrant,Belgium,,,,,
206094723,BE,present,1987-03-01/2004-04-18,ISO_3166-2:BE-VLG,vagrant,Flemish Region,,,,,
206094727,BE,present,2011-07-07/2023-11-22,ISO_3166-2:BE,introduced,Belgium,,,,,
206094727,BE,present,2012-07-06/2023-11-22,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
206094727,BE,present,2011-07-07/2023-09-19,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094727,BE,present,2012-06-18/2022-07-26,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094731,BE,present,2012-12-17/2019-12-29,ISO_3166-2:BE,vagrant,Belgium,,,,,
206094731,BE,present,2012-12-17/2019-12-29,ISO_3166-2:BE-VLG,vagrant,Flemish Region,,,,,
206094735,BE,present,2011-10-22/2020-02-21,ISO_3166-2:BE,vagrant,Belgium,,,,,
206094735,BE,present,2011-10-22/2020-02-21,ISO_3166-2:BE-VLG,vagrant,Flemish Region,,,,,
206094745,BE,present,2008-12-20/2023-06-24,ISO_3166-2:BE,introduced,Belgium,,,,,
206094745,BE,present,2008-12-20/2023-06-24,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094746,BE,present,1965-03-06/2023-12-30,ISO_3166-2:BE,vagrant,Belgium,,,,,
206094746,BE,present,2012-10-28/2012-10-28,ISO_3166-2:BE-BRU,vagrant,Brussels-Capital Region,,,,,
206094746,BE,present,1967-03-30/2023-10-22,ISO_3166-2:BE-VLG,vagrant,Flemish Region,,,,,
206094746,BE,present,1965-03-06/2023-12-30,ISO_3166-2:BE-WAL,vagrant,Walloon Region,,,,,
206094754,BE,present,2008-10-11/2008-10-11,ISO_3166-2:BE,introduced,Belgium,,,,,
206094754,BE,present,2008-10-11/2008-10-11,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094798,BE,present,2010-11-29/2023-11-15,ISO_3166-2:BE,introduced,Belgium,,,,,
206094798,BE,present,2010-11-29/2023-11-15,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094798,BE,present,2020-05-26/2023-06-04,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094807,BE,present,2005-07-16/2023-10-09,ISO_3166-2:BE,introduced,Belgium,,,,,
206094807,BE,present,2016-05-28/2018-07-07,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
206094807,BE,present,2005-07-16/2023-10-09,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094807,BE,present,2010-08-24/2023-06-16,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094812,BE,present,2019-07-29/2019-07-29,ISO_3166-2:BE,introduced,Belgium,,,,,
206094812,BE,present,2019-07-29/2019-07-29,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094815,BE,present,2006-06-24/2023-10-14,ISO_3166-2:BE,introduced,Belgium,,,,,
206094815,BE,present,2006-06-24/2023-10-14,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094815,BE,present,2014-05-31/2023-10-10,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094817,BE,present,1984-08-21/2023-11-29,ISO_3166-2:BE,introduced,Belgium,,,,,
206094817,BE,present,2009-04-19/2023-06-13,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
206094817,BE,present,1984-08-21/2023-11-29,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094817,BE,present,2002-06-01/2023-06-23,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094823,BE,present,2003-04-21/2023-12-15,ISO_3166-2:BE,introduced,Belgium,,,,,
206094823,BE,present,2022-10-19/2022-10-19,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
206094823,BE,present,2003-04-21/2023-12-15,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094823,BE,present,2010-04-08/2023-12-12,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094826,BE,present,2019-03-31/2023-03-06,ISO_3166-2:BE,introduced,Belgium,,,,,
206094826,BE,present,2019-03-31/2021-05-19,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094826,BE,present,2023-02-17/2023-03-06,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094835,BE,present,1997-05-27/2022-04-26,ISO_3166-2:BE,introduced,Belgium,,,,,
206094835,BE,present,1997-05-27/2018-05-13,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094835,BE,present,2008-09-23/2022-04-26,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094836,BE,present,2018-05-10/2023-12-03,ISO_3166-2:BE,introduced,Belgium,,,,,
206094836,BE,present,2018-05-10/2023-12-03,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094841,BE,present,2020-04-29/2023-05-08,ISO_3166-2:BE,introduced,Belgium,,,,,
206094841,BE,present,2020-04-29/2023-05-08,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094847,BE,present,2003-02-02/2023-11-19,ISO_3166-2:BE,introduced,Belgium,,,,,
206094847,BE,present,2014-07-04/2023-08-09,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
206094847,BE,present,2003-02-02/2023-11-19,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094847,BE,present,2009-07-17/2023-10-08,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094849,BE,present,2014-11-13/2023-10-22,ISO_3166-2:BE,introduced,Belgium,,,,,
206094849,BE,present,2014-11-13/2023-10-22,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094856,BE,present,1982-07-25/2023-12-26,ISO_3166-2:BE,introduced,Belgium,,,,,
206094856,BE,present,2006-07-03/2023-10-18,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
206094856,BE,present,1982-07-25/2023-12-26,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094856,BE,present,1992-03-23/2023-12-17,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094872,BE,present,2011-05-24/2022-07-16,ISO_3166-2:BE,introduced,Belgium,,,,,
206094872,BE,present,2011-05-24/2022-07-16,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094880,BE,present,2016-08-13/2021-08-14,ISO_3166-2:BE,introduced,Belgium,,,,,
206094880,BE,present,2016-08-13/2021-08-14,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094880,BE,present,2017-04-22/2021-05-29,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094884,BE,present,1993-07-19/2023-06-16,ISO_3166-2:BE,introduced,Belgium,,,,,
206094884,BE,present,2019-04-14/2019-06-03,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
206094884,BE,present,1993-07-19/2023-06-16,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094884,BE,present,2021-06-27/2021-06-27,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094891,BE,present,2021-03-01/2023-12-07,ISO_3166-2:BE,introduced,Belgium,,,,,
206094891,BE,present,2021-03-01/2023-12-07,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094892,BE,present,2007-04-21/2022-05-22,ISO_3166-2:BE,introduced,Belgium,,,,,
206094892,BE,present,2007-04-21/2022-05-22,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094892,BE,present,2011-06-05/2019-06-04,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094895,BE,present,2017-06-11/2023-08-13,ISO_3166-2:BE,introduced,Belgium,,,,,
206094895,BE,present,2017-06-11/2023-08-13,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094898,BE,present,2012-06-08/2020-06-10,ISO_3166-2:BE,introduced,Belgium,,,,,
206094898,BE,present,2015-05-31/2015-05-31,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
206094898,BE,present,2017-05-30/2017-05-30,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094898,BE,present,2012-06-08/2020-06-10,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094899,BE,present,1990-08-15/2021-08-11,ISO_3166-2:BE,introduced,Belgium,,,,,
206094899,BE,present,1990-08-15/2021-08-11,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094899,BE,present,1992-10-03/2017-08-11,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094901,BE,present,2016-05-24/2016-05-28,ISO_3166-2:BE,introduced,Belgium,,,,,
206094901,BE,present,2016-05-24/2016-05-28,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094902,BE,present,2016-10-01/2020-10-20,ISO_3166-2:BE,introduced,Belgium,,,,,
206094902,BE,present,2016-10-01/2020-10-20,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094904,BE,present,2020-02-05/2023-01-16,ISO_3166-2:BE,introduced,Belgium,,,,,
206094904,BE,present,2020-02-05/2023-01-16,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094909,BE,present,2007-10-28/2023-12-02,ISO_3166-2:BE,introduced,Belgium,,,,,
206094909,BE,present,2009-05-20/2022-07-10,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
206094909,BE,present,2007-10-28/2023-12-02,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094911,BE,present,1983-10-20/2023-12-22,ISO_3166-2:BE,introduced,Belgium,,,,,
206094911,BE,present,2006-06-19/2022-10-30,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
206094911,BE,present,1983-10-20/2023-12-22,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094911,BE,present,1984-09-07/2023-11-23,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094919,BE,present,2016-08-08/2020-08-02,ISO_3166-2:BE,introduced,Belgium,,,,,
206094919,BE,present,2016-08-08/2020-08-02,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094922,BE,present,2006-07-23/2023-10-26,ISO_3166-2:BE,introduced,Belgium,,,,,
206094922,BE,present,2018-10-03/2022-08-04,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
206094922,BE,present,2009-06-21/2023-10-26,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094922,BE,present,2006-07-23/2022-11-11,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094929,BE,present,2016-05-19/2016-05-19,ISO_3166-2:BE,introduced,Belgium,,,,,
206094929,BE,present,2016-05-19/2016-05-19,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094935,BE,present,1983-07-01/2023-10-18,ISO_3166-2:BE,introduced,Belgium,,,,,
206094935,BE,present,2015-08-14/2019-08-29,ISO_3166-2:BE-BRU,introduced,Brussels-Capital Region,,,,,
206094935,BE,present,1983-07-01/2023-10-18,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094935,BE,present,1990-09-16/2023-10-11,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094940,BE,present,2009-04-18/2023-06-13,ISO_3166-2:BE,introduced,Belgium,,,,,
206094940,BE,present,2009-04-18/2023-06-13,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094940,BE,present,2017-08-01/2017-08-01,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094942,BE,present,2012-06-13/2014-07-21,ISO_3166-2:BE,introduced,Belgium,,,,,
206094942,BE,present,2012-06-13/2012-07-17,ISO_3166-2:BE-VLG,introduced,Flemish Region,,,,,
206094942,BE,present,2014-07-21/2014-07-21,ISO_3166-2:BE-WAL,introduced,Walloon Region,,,,,
206094948,BE,present,2010-07-04/2022-05-02,ISO_3166-2:BE,introduced,Belgium,,,,,
